rentree_scolaire;academie;code_du_departement;departement;uai;nom;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips
2016-2017;LILLE;62;PAS-DE-CALAIS;0622114L;LYCEE POLYVALENT PRIVE SAINT PAUL;62498;LENS;privé sous contrat;LPO;120.2
2016-2017;LILLE;62;PAS-DE-CALAIS;0622150A;LYCEE POLYVALENT PRIVE JEAN BOSCO;62397;GUINES;privé sous contrat;LPO;85.3
2016-2017;LILLE;62;PAS-DE-CALAIS;0622196A;LYCEE POLYVALENT PRIVE BAUDIMONT SAINT CHARLES LYCEE DES METIERS DU TERTIAIRE COMMERCIAL ET DU MANAGEMENT;62041;ARRAS;privé sous contrat;LPO;118
2016-2017;LILLE;62;PAS-DE-CALAIS;0623463C;LYCEE PROFESSIONNEL NORMANDIE NIEMEN LYCEE DES METIERS DU BATIMENT;62193;CALAIS;public;LP;67.7
2016-2017;LILLE;62;PAS-DE-CALAIS;0623902E;LYCEE POLYVALENT MARGUERITE YOURCENAR LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;62126;BEUVRY;public;LPO;89.4
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0630023H;LYCEE PROFESSIONNEL MARIE CURIE LYCEE DES METIERS DES SERVICES AUX PERSONNES ET AUX COLLECTIVITES;63113;CLERMONT FERRAND;public;LP;86
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0630061Z;LYCEE PROFESSIONNEL DESAIX;63338;SAINT ELOY LES MINES;public;LP;88.7
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631034G;LYCEE GENERAL PRIVE SAINTE MARIE;63300;RIOM;privé sous contrat;LPO;127.8
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631068U;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE GODEFROY DE BOUILLON;63113;CLERMONT FERRAND;privé sous contrat;LEGT;118.1
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631070W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE THECLE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;63075;CHAMALIERES;privé sous contrat;LEGT;117.2
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631408N;LYCEE PROFESSIONNEL PRIVE LES CORDELIERS LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;63113;CLERMONT FERRAND;privé sous contrat;LP;91.6
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631669X;LYCEE POLYVALENT LYCEE DES METIERS DE L HOTELLERIE DE LA RESTAURATION ET DU TOURISME;63075;CHAMALIERES;public;LPO;117.7
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631736V;LYCEE PROFESSIONNEL PRIVE GODEFROY DE BOUILLON LYCEE DES METIERS DE L INDUSTRIE ET DES SERVICES AUX ENTREPRISES;63113;CLERMONT FERRAND;privé sous contrat;LP;106.3
2016-2017;CLERMONT-FERRAND;63;PUY-DE-DOME;0631847R;LYCEE GENERAL PRIVE MASSILLON;63113;CLERMONT FERRAND;privé sous contrat;LEGT;145.7
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640011P;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS DE FOIX;64102;BAYONNE;public;LEGT;105.3
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640017W;LYCEE GENERAL EXPERIMENTAL ANDRE MALRAUX;64122;BIARRITZ;public;LEGT;124.1
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640046C;LYCEE GENERAL PAUL REY;64417;NAY;public;LEGT;121
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640049F;LYCEE PROFESSIONNEL GUYNEMER LYCEE DES METIERS DE L INDUSTRIE;64422;OLORON SAINTE MARIE;public;LP;92.5
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640052J;LYCEE GENERAL ET TECHNOLOGIQUE GASTON FEBUS;64430;ORTHEZ;public;LEGT;113.6
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640066Z;LYCEE PROFESSIONNEL RAMIRO ARRUE LYCEE DES METIERS COTE BASQUE;64483;SAINT JEAN DE LUZ;public;LP;95.5
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640080P;LYCEE PROFESSIONNEL MOLIERE;64430;ORTHEZ;public;LP;94.3
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640124M;LYCEE GENERAL PRIVE SAINT FRANCOIS;64371;MAULEON LICHARRE;privé sous contrat;LEGT;112.5
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0640189H;LYCEE PROFESSIONNEL PRIVE SAINT VINCENT DE PAUL;64445;PAU;privé sous contrat;LP;89.1
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641441U;LYCEE TECHNOLOGIQUE PRIVE SAINTE ANNE;64024;ANGLET;privé sous contrat;LEGT;106.6
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641664L;LYCEE PROFESSIONNEL PRIVE IMMACULEE CONCEPTION BEAU FRENE LYCEE DES METIERS DE LA MAINTENANCE ET DE L INDUSTRIE;64445;PAU;privé sous contrat;LP;98.5
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641665M;LYCEE PROFESSIONNEL PRIVE LE BEAU RAMEAU IGON;64270;IGON;privé sous contrat;LP;99.4
2016-2017;BORDEAUX;64;PYRENEES-ATLANTIQUES;0641779L;LYCEE GENERAL ET TECHNOLOGIQUE DU PAYS DE SOULE LYCEE DES METIERS;64188;CHERAUTE;public;LEGT;107.9
2016-2017;TOULOUSE;65;HAUTES-PYRENEES;0650025Z;LYCEE GENERAL THEOPHILE GAUTIER;65440;TARBES;public;LEGT;119.8
2016-2017;TOULOUSE;65;HAUTES-PYRENEES;0650065T;LYCEE TECHNOLOGIQUE PRIVE PRADEAU LA SEDE SAINT PIERRE;65440;TARBES;privé sous contrat;LEGT;100
2016-2017;TOULOUSE;65;HAUTES-PYRENEES;0650067V;LYCEE PROFESSIONNEL PRIVE VINCENT DE PAUL;65440;TARBES;privé sous contrat;LP;75
2016-2017;MONTPELLIER;66;PYRENEES-ORIENTALES;0660026V;LYCEE PROFESSIONNEL ALFRED SAUVY LYCEE DES METIERS DU BATIMENT;66225;VILLELONGUE DELS MONTS;public;LP;79.6
2016-2017;MONTPELLIER;66;PYRENEES-ORIENTALES;0660856X;LYCEE POLYVALENT ROSA LUXEMBURG LYCEE DES METIERS DU NAUTISME;66037;CANET EN ROUSSILLON;public;LPO;105.5
2016-2017;MONTPELLIER;66;PYRENEES-ORIENTALES;0660924W;LYCEE POLYVALENT CHRISTIAN BOURQUIN;66008;ARGELES SUR MER;public;LPO;100.3
2016-2017;STRASBOURG;67;BAS-RHIN;0670081Z;LYCEE GENERAL SECTIONS INTERNATIONALES;67482;STRASBOURG;public;LEGT;134.2
2016-2017;STRASBOURG;67;BAS-RHIN;0670114K;LYCEE POLYVALENT STANISLAS LYCEE DES METIERS;67544;WISSEMBOURG;public;LPO;105.3
2016-2017;STRASBOURG;67;BAS-RHIN;0671610L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE INSTITUTION NOTRE DAME;67482;STRASBOURG;privé sous contrat;LEGT;117.5
2016-2017;STRASBOURG;67;BAS-RHIN;0671618V;LYCEE GENERAL PRIVE SEMINAIRE DE JEUNES;67511;WALBOURG;privé sous contrat;LEGT;122.2
2016-2017;STRASBOURG;67;BAS-RHIN;0671832C;LYCEE POLYVALENT JEAN BAPTISTE SCHWILGUE;67462;SELESTAT;public;LPO;103.4
2016-2017;STRASBOURG;68;HAUT-RHIN;0680001G;LYCEE POLYVALENT JEAN JACQUES HENNER;68004;ALTKIRCH;public;LPO;106
2016-2017;STRASBOURG;68;HAUT-RHIN;0680032R;LYCEE GENERAL ET TECHNOLOGIQUE MICHEL DE MONTAIGNE;68224;MULHOUSE;public;LEGT;103.7
2016-2017;STRASBOURG;68;HAUT-RHIN;0680034T;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS ARMAND;68224;MULHOUSE;public;LPO;97
2016-2017;STRASBOURG;68;HAUT-RHIN;0680068E;LYCEE POLYVALENT LOUISE WEISS;68298;SAINTE MARIE AUX MINES;public;LPO;90.4
2016-2017;STRASBOURG;68;HAUT-RHIN;0680073K;LYCEE GENERAL ET TECHNOLOGIQUE SCHEURER KESTNER;68334;THANN;public;LEGT;112
2016-2017;STRASBOURG;68;HAUT-RHIN;0681809X;LYCEE POLYVALENT E BUGATTI LYCEE DES METIERS DE L AUTOMOBILE DU TRANSPORT ET DE LA LOGISTIQUE;68154;ILLZACH;public;LP;77.1
2016-2017;LYON;69;RHONE;0690010L;LYCEE PROFESSIONNEL TONY GARNIER LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;69029;BRON;public;LP;82.3
2016-2017;LYON;69;RHONE;0690023A;LYCEE GENERAL ET TECHNOLOGIQUE AMPERE;69382;LYON 2E ARRONDISSEMENT;public;LEGT;120.3
2016-2017;LYON;69;RHONE;0690037R;LYCEE GENERAL ET TECHNOLOGIQUE LA MARTINIERE DIDEROT;69381;LYON 1ER ARRONDISSEMENT;public;LEGT;123.1
2016-2017;LYON;69;RHONE;0690046A;LYCEE PROFESSIONNEL LOUISE LABE LYCEE DES METIERS RESEAU TEXTILE MODE CUIR;69387;LYON 7E ARRONDISSEMENT;public;LP;82.5
2016-2017;LYON;69;RHONE;0690093B;LYCEE PROFESSIONNEL HELENE BOUCHER;69259;VENISSIEUX;public;LP;73
2016-2017;LYON;69;RHONE;0690522T;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE AUX LAZARISTES;69385;LYON 5E ARRONDISSEMENT;privé sous contrat;LEGT;147.4
2016-2017;LYON;69;RHONE;0690539L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ASSOMPTION BELLEVUE;69142;LA MULATIERE;privé sous contrat;LEGT;121.1
2016-2017;LYON;69;RHONE;0690552A;LYCEE GENERAL PRIVE NOTRE DAME DE MONGRE;69264;VILLEFRANCHE SUR SAONE;privé sous contrat;LEGT;129.1
2016-2017;LYON;69;RHONE;0691723Y;LYCEE PROFESSIONNEL PRIVE DE COIFFURE DE LYON;69384;LYON 4E ARRONDISSEMENT;privé sous contrat;LP;88.1
2016-2017;LYON;69;RHONE;0691875N;LYCEE PROFESSIONNEL PRIVE INSTITUT TECHNIQUE DES CARRIERES CAROLE;69382;LYON 2E ARRONDISSEMENT;privé sous contrat;LP;116.6
2016-2017;LYON;69;RHONE;0692418D;LYCEE PROFESSIONNEL MARC SEGUIN;69259;VENISSIEUX;public;LP;73.8
2016-2017;LYON;69;RHONE;0692866R;LYCEE GENERAL ET TECHNOLOGIQUE LA MARTINIERE MONPLAISIR;69388;LYON 8E ARRONDISSEMENT;public;LEGT;126
2016-2017;LYON;69;RHONE;0693095P;LYCEE PROFESSIONNEL FRANCOIS CEVERT;69081;ECULLY;public;LP;77.6
2016-2017;LYON;69;RHONE;0693267B;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE NOTRE DAME DE BEL AIR;69243;TARARE;privé sous contrat;LEGT;111.9
2016-2017;LYON;69;RHONE;0693330V;LYCEE POLYVALENT ARAGON PICASSO;69091;GIVORS;public;LPO;104.3
2016-2017;LYON;69;RHONE;0693373S;LYCEE PROFESSIONNEL PRIVE CARREL LYCEE DES METIERS DES RELATIONS COMMERCIALES;69386;LYON 6E ARRONDISSEMENT;privé sous contrat;LP;104.2
2016-2017;LYON;69;RHONE;0693518Z;LYCEE GENERAL ET TECHNOLOGIQUE BLAISE PASCAL;69044;CHARBONNIERES LES BAINS;public;LEGT;133.8
2016-2017;LYON;69;RHONE;0694026B;LYCEE GENERAL ROSA PARKS;69143;NEUVILLE SUR SAONE;public;LEGT;131.5
2016-2017;BESANCON;70;HAUTE-SAONE;0701001H;LYCEE PROFESSIONNEL PRIVE SAINT PIERRE FOURIER;70279;GRAY;privé sous contrat;LP;72.3
2016-2017;BESANCON;70;HAUTE-SAONE;0701078S;LYCEE POLYVALENT LUMIERE;70311;LUXEUIL LES BAINS;public;LPO;95.8
2016-2017;DIJON;71;SAONE-ET-LOIRE;0710001R;LYCEE POLYVALENT BONAPARTE;71014;AUTUN;public;LPO;106.8
2016-2017;DIJON;71;SAONE-ET-LOIRE;0710012C;LYCEE TECHNOLOGIQUE NICEPHORE NIEPCE;71076;CHALON SUR SAONE;public;LEGT;113.1
2016-2017;DIJON;71;SAONE-ET-LOIRE;0710048S;LYCEE POLYVALENT RENE CASSIN LYCEE DES METIERS;71270;MACON;public;LPO;102.9
2016-2017;DIJON;71;SAONE-ET-LOIRE;0711322B;LYCEE PROFESSIONNEL CAMILLE DU GAST;71076;CHALON SUR SAONE;public;LP;84.3
2016-2017;DIJON;71;SAONE-ET-LOIRE;0711384U;LYCEE PROFESSIONNEL DU BASSIN DE MONTCEAU;71040;BLANZY;public;LP;79.6
2016-2017;DIJON;71;SAONE-ET-LOIRE;0711422K;LYCEE POLYVALENT HILAIRE DE CHARDONNET;71076;CHALON SUR SAONE;public;LPO;109.5
2016-2017;NANTES;72;SARTHE;0720021G;LYCEE POLYVALENT D ESTOURNELLES DE CONSTANT;72154;LA FLECHE;public;LPO;99.1
2016-2017;NANTES;72;SARTHE;0720055U;LYCEE GENERAL ET TECHNOLOGIQUE PAUL SCARRON;72334;SILLE LE GUILLAUME;public;LEGT;102.4
2016-2017;NANTES;72;SARTHE;0721094Y;LYCEE POLYVALENT LE MANS SUD;72181;LE MANS;public;LPO;97
2016-2017;GRENOBLE;73;SAVOIE;0730029K;LYCEE GENERAL ET TECHNOLOGIQUE AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;73181;MOUTIERS;public;LEGT;120.1
2016-2017;GRENOBLE;73;SAVOIE;0730032N;LYCEE PROFESSIONNEL LE NIVOLET LYCEE DES METIERS DU BATIMENT DU BOIS ET DE LA TOPOGRAPHIE;73213;LA RAVOIRE;public;LP;92.8
2016-2017;GRENOBLE;73;SAVOIE;0730043A;LYCEE POLYVALENT RENE PERRIN LYCEE DES METIERS DES SCIENCES ET TECHNIQUES DE L INDUSTRIE;73303;UGINE;public;LPO;109.1
2016-2017;GRENOBLE;73;SAVOIE;0730763H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ST AMBROISE LYCEE DES METIERS DU COMMERCE DE LA GESTION ADMINISTRATIVE ET COMPTABLE;73065;CHAMBERY;privé sous contrat;LEGT;128.6
2016-2017;GRENOBLE;73;SAVOIE;0731248K;LYCEE GENERAL ET TECHNOLOGIQUE LOUIS ARMAND;73065;CHAMBERY;public;LEGT;116.1
2016-2017;GRENOBLE;73;SAVOIE;0731392S;LYCEE GENERAL ET TECHNOLOGIQUE DU GRANIER;73213;LA RAVOIRE;public;LEGT;121.1
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740005D;LYCEE GENERAL ET TECHNOLOGIQUE GABRIEL FAURE;74010;ANNECY;public;LEGT;119.6
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740037N;LYCEE GENERAL ET TECHNOLOGIQUE MME DE STAEL;74243;SAINT JULIEN EN GENEVOIS;public;LEGT;117.5
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740059M;LYCEE PROFESSIONNEL DU CHABLAIS;74281;THONON LES BAINS;public;LP;80.9
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740082M;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT MICHEL;74010;ANNECY;privé sous contrat;LEGT;143.8
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740104L;LYCEE GENERAL PRIVE SAINT FRANCOIS;74305;VILLE LA GRAND;privé sous contrat;LEGT;117
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740143D;LYCEE POLYVALENT PRIVE LES CORDELIERS;74081;CLUSES;privé sous contrat;LPO;98.1
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0740155S;LYCEE PROFESSIONNEL PRIVE MONT BLANC;74256;SALLANCHES;privé sous contrat;LP;97.8
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0741443S;LYCEE GENERAL PRIVE SAINTE CROIX DES NEIGES;74001;ABONDANCE;privé sous contrat;LEGT;134.2
2016-2017;GRENOBLE;74;HAUTE SAVOIE;0741669M;LYCEE POLYVALENT RENE FRISON ROCHE;74056;CHAMONIX MONT BLANC;public;LPO;120.6
2016-2017;PARIS;75;PARIS;0750436S;LYCEE PROFESSIONNEL CLAUDE ANTHIME CORBON LYCEE DES METIERS DE LA COMMUNICATION ET DE LA GESTION D ENTREPRISE;75115;PARIS 15E ARRONDISSEMENT;public;LP;81.7
2016-2017;PARIS;75;PARIS;0750656F;LYCEE GENERAL LAVOISIER;75105;PARIS 5E ARRONDISSEMENT;public;LEGT;142.5
2016-2017;PARIS;75;PARIS;0750676C;LYCEE POLYVALENT DORIAN LYCEE DES METIERS DE LA MECATRONIQUE DE LA TOPOGRAPHIE ET DE LA VERRERIE;75111;PARIS 11E ARRONDISSEMENT;public;LPO;117.9
2016-2017;PARIS;75;PARIS;0750681H;LYCEE POLYVALENT BOULLE LYCEE DES METIERS D ART D ARCHITECTURE INTERIEURE ET DU DESIGN;75112;PARIS 12E ARRONDISSEMENT;public;LPO;137
2016-2017;PARIS;75;PARIS;0750683K;LYCEE GENERAL CLAUDE MONET;75113;PARIS 13E ARRONDISSEMENT;public;LEGT;128
2016-2017;PARIS;75;PARIS;0750690T;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS VILLON;75114;PARIS 14E ARRONDISSEMENT;public;LEGT;98.6
2016-2017;PARIS;75;PARIS;0750694X;LYCEE GENERAL CAMILLE SEE;75115;PARIS 15E ARRONDISSEMENT;public;LEGT;127.5
2016-2017;PARIS;75;PARIS;0750696Z;LYCEE GENERAL ET TECHNOLOGIQUE ROGER VERLOMME LYCEE DES METIERS DE LA COMMUNICATION ET DE LA GESTION D ENTREPRISE;75115;PARIS 15E ARRONDISSEMENT;public;LEGT;101.5
2016-2017;PARIS;75;PARIS;0750703G;LYCEE GENERAL MOLIERE;75116;PARIS 16E ARRONDISSEMENT;public;LEGT;123.7
2016-2017;PARIS;75;PARIS;0750711R;LYCEE GENERAL ET TECHNOLOGIQUE HENRI BERGSON;75119;PARIS 19E ARRONDISSEMENT;public;LEGT;104.5
2016-2017;PARIS;75;PARIS;0750712S;LYCEE POLYVALENT DIDEROT;75119;PARIS 19E ARRONDISSEMENT;public;LPO;102.2
2016-2017;PARIS;75;PARIS;0750778N;LYCEE PROFESSIONNEL TURQUETIL LYCEE DES METIERS DE LA MODE;75111;PARIS 11E ARRONDISSEMENT;public;LP;85.7
2016-2017;PARIS;75;PARIS;0750784V;LYCEE PROFESSIONNEL METIERS DE L AMEUBLEMENT;75112;PARIS 12E ARRONDISSEMENT;public;LP;128.6
2016-2017;PARIS;75;PARIS;0750802P;LYCEE PROFESSIONNEL HECTOR GUIMARD LYCEE DES METIERS DU BATIMENT DE L ARTISANAT ET DU PATRIMOINE BATIMENT;75119;PARIS 19E ARRONDISSEMENT;public;LP;74.9
2016-2017;PARIS;75;PARIS;0753598D;COLLEGE SEVIGNE (ECOLE SECONDAIRE PRIVEE);75105;PARIS 5E ARRONDISSEMENT;privé sous contrat;LEGT;143.1
2016-2017;PARIS;75;PARIS;0753809H;LYCEE GENERAL PRIVE PAUL CLAUDEL;75107;PARIS 7E ARRONDISSEMENT;privé sous contrat;LEGT;138
2016-2017;PARIS;75;PARIS;0753825A;LYCEE PRIVE POUR HANDICAPES MORVAN;75109;PARIS 9E ARRONDISSEMENT;privé sous contrat;LEGT;120.9
2016-2017;PARIS;75;PARIS;0753827C;LYCEE GENERAL PRIVE LOUISE DE MARILLAC;75105;PARIS 5E ARRONDISSEMENT;privé sous contrat;LEGT;129.5
2016-2017;PARIS;75;PARIS;0753834K;LYCEE GENERAL PRIVE YABNE;75113;PARIS 13E ARRONDISSEMENT;privé sous contrat;LEGT;138.6
2016-2017;PARIS;75;PARIS;0753838P;LYCEE PRIVE SAINT SULPICE;75106;PARIS 6E ARRONDISSEMENT;privé sous contrat;LEGT;128.1
2016-2017;PARIS;75;PARIS;0753840S;ENSEIGNEMENT PRIVE STANISLAS (ECOLE SECONDAIRE PRIVEE);75106;PARIS 6E ARRONDISSEMENT;privé sous contrat;LEGT;147.1
2016-2017;PARIS;75;PARIS;0753849B;INSTITUT PRIVE DE L ALMA (ECOLE SECONDAIRE PRIVEE );75107;PARIS 7E ARRONDISSEMENT;privé sous contrat;LEGT;145.8
2016-2017;PARIS;75;PARIS;0753873C;LYCEE PRIVE CATHOLIQUE FENELON SAINTE MARIE;75108;PARIS 8E ARRONDISSEMENT;privé sous contrat;LEGT;153.2
2016-2017;PARIS;75;PARIS;0753885R;INSTITUT ROCROY SAINT VINCENT DE PAUL (ECOLE SECONDAIRE PRIVEE);75110;PARIS 10E ARRONDISSEMENT;privé sous contrat;LEGT;132.1
2016-2017;PARIS;75;PARIS;0753897D;LYCEE GENERAL PRIVE SAINT MICHEL DE PICPUS;75112;PARIS 12E ARRONDISSEMENT;privé sous contrat;LEGT;143.6
2016-2017;PARIS;75;PARIS;0753941B;LYCEE PRIVE GERSON;75116;PARIS 16E ARRONDISSEMENT;privé sous contrat;LEGT;145.1
2016-2017;PARIS;75;PARIS;0753959W;LYCEE PRIVE SAINT MICHEL DES BATIGNOLLES;75117;PARIS 17E ARRONDISSEMENT;privé sous contrat;LEGT;132.7
2016-2017;PARIS;75;PARIS;0754042L;LYCEE POLYVALENT PRIVE LE REBOURS LYCEE DES METIERS DES ACTIVITES COMPTABLES ET COMMERCIALES;75113;PARIS 13E ARRONDISSEMENT;privé sous contrat;LPO;122.1
2016-2017;PARIS;75;PARIS;0755352K;LYCEE GENERAL PRIVE N R HATORAH;75119;PARIS 19E ARRONDISSEMENT;privé sous contrat;LEGT;145.4
2016-2017;ROUEN;76;SEINE MARITIME;0760029U;LYCEE GENERAL ET TECHNOLOGIQUE ANDRE MAUROIS;76231;ELBEUF;public;LEGT;103.6
2016-2017;ROUEN;76;SEINE MARITIME;0760032X;LYCEE POLYVALENT ANGUIER LYCEE DES METIERS DE LA MISE EN FORME DES MATERIAUX INDUSTRIELS ET DE L ECO INNOVATION;76255;EU;public;LPO;103.3
2016-2017;ROUEN;76;SEINE MARITIME;0760052U;LYCEE GENERAL FRANCOIS IER;76351;LE HAVRE;public;LEGT;115.1
2016-2017;ROUEN;76;SEINE MARITIME;0760058A;LYCEE GENERAL ET TECHNOLOGIQUE SCHUMAN PERRET;76351;LE HAVRE;public;LEGT;82.7
2016-2017;ROUEN;76;SEINE MARITIME;0760088H;LYCEE PROFESSIONNEL ELISA LEMONNIER;76498;LE PETIT QUEVILLY;public;LP;81.2
2016-2017;ROUEN;76;SEINE MARITIME;0760090K;LYCEE GENERAL PIERRE CORNEILLE;76540;ROUEN;public;LEGT;143.5
2016-2017;ROUEN;76;SEINE MARITIME;0760095R;LYCEE POLYVALENT BLAISE PASCAL;76540;ROUEN;public;LPO;109.7
2016-2017;ROUEN;76;SEINE MARITIME;0760132F;LYCEE PROFESSIONNEL JULES SIEGFRIED LYCEE DES METIERS DES SCIENCES DU NUMERIQUE ET DE L INNOVATION TECHNOLOGIQUE;76351;LE HAVRE;public;LP;89.3
2016-2017;ROUEN;76;SEINE MARITIME;0761322Z;LYCEE PROFESSIONNEL CLAUDE MONET;76351;LE HAVRE;public;LP;74.1
2016-2017;ROUEN;76;SEINE MARITIME;0761710W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;76351;LE HAVRE;privé sous contrat;LEGT;136.7
2016-2017;ROUEN;76;SEINE MARITIME;0761713Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA PROVIDENCE;76429;LE MESNIL ESNARD;privé sous contrat;LEGT;117.2
2016-2017;ROUEN;76;SEINE MARITIME;0763112V;LYCEE GENERAL PRIVE LA PROVIDENCE;76259;FECAMP;privé sous contrat;LEGT;113.1
2016-2017;ROUEN;76;SEINE MARITIME;0763237F;LYCEE POLYVALENT GEORGES BAPTISTE LYCEE DES METIERS DE L HOTELLERIE LA RESTAURATION ET DE LA BOULANGERIE ET DE LA PATISSERIE;76157;CANTELEU;public;LPO;98.5
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0770924L;LYCEE POLYVALENT JULES FERRY;77131;COULOMMIERS;public;LPO;105.8
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0770927P;LYCEE GENERAL INTERNATIONAL FRANCOIS 1ER;77186;FONTAINEBLEAU;public;LEGT;140.8
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0770932V;LYCEE PROFESSIONNEL PIERRE DE COUBERTIN;77284;MEAUX;public;LP;91.5
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0771658J;LYCEE POLYVALENT DU GUE A TRESMES;77126;CONGIS SUR THEROUANNE;public;LPO;96.2
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0771995A;LYCEE PROFESSIONNEL LE CHAMP DE CLAYE LYCEE DES METIERS DE L ENERGIE;77118;CLAYE SOUILLY;public;LP;86.1
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0771997C;LYCEE PROFESSIONNEL JACQUES PREVERT LYCEE DES METIERS DES SYSTEMES ELECTRONIQUES NUMERIQUES ET DE L ELECTROTECHNIQUE;77122;COMBS LA VILLE;public;LP;96.3
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772120L;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;77468;TORCY;public;LPO;97.1
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772153X;LYCEE POLYVALENT PRIVE JEAN ROSE;77284;MEAUX;privé sous contrat;LPO;109.6
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772243V;LYCEE GENERAL ET TECHNOLOGIQUE CAMILLE CLAUDEL;77373;PONTAULT COMBAULT;public;LEGT;114.4
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772244W;LYCEE PROFESSIONNEL ANTONIN CAREME LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;77445;SAVIGNY LE TEMPLE;public;LPO;85.4
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772276F;LYCEE POLYVALENT JEHAN DE CHELLES LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;77108;CHELLES;public;LPO;103
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772296C;LYCEE POLYVALENT DE LA MARE CARREE;77296;MOISSY CRAMAYEL;public;LPO;102.6
2016-2017;CRETEIL;77;SEINE-ET-MARNE;0772342C;LYCEE POLYVALENT CLEMENT ADER;77470;TOURNAN EN BRIE;public;LPO;108.1
2016-2017;VERSAILLES;78;YVELINES;0781578S;LYCEE POLYVALENT HOTELLERIE ET TOURISME LYCEE DES METIERS DES SERVICES HOTELIERS ET DU TOURISME;78297;GUYANCOURT;public;LPO;107.2
2016-2017;VERSAILLES;78;YVELINES;0781664K;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE THERESE;78517;RAMBOUILLET;privé sous contrat;LEGT;141.9
2016-2017;VERSAILLES;78;YVELINES;0781860Y;LYCEE POLYVALENT LES PIERRES VIVES;78124;CARRIERES SUR SEINE;public;LEGT;135.3
2016-2017;VERSAILLES;78;YVELINES;0781948U;LYCEE POLYVALENT ANTOINE LAVOISIER;78501;PORCHEVILLE;public;LPO;86.8
